part_oem_number,part_manufacturer,cross_ref_oem_number,cross_ref_manufacturer,cross_ref_type,notes
BP0001028,EBC Brakes,BPR0007004,Ferodo,oem,Cross-reference for brake pads
BP0001028,EBC Brakes,OE0050052,EBC Brakes,oem,Original equipment reference
BP0001029,EBC Brakes,BPR0001042,ATE,oem,Cross-reference for brake pads
BP0001029,EBC Brakes,OE0050053,EBC Brakes,oem,Original equipment reference
BP0001030,EBC Brakes,BPR0005687,Textar,replacement,Cross-reference for brake pads
BP0001030,EBC Brakes,OE0050054,Original,oem,Original equipment reference
BP0001031,EBC Brakes,BPR0002640,Pagid,compatible,Cross-reference for brake pads
BP0001031,EBC Brakes,OE0050055,Original,oem,Original equipment reference
BP0001031,EBC Brakes,BP0009056,ATE,oem,Cross-reference for brake pads
BP0001031,EBC Brakes,OE0050056,Original,oem,Original equipment reference
BP0001031,EBC Brakes,BP0010641,Bosch,oem,Cross-reference for brake pads
BP0001031,EBC Brakes,OE0050057,Original,oem,Original equipment reference
BPR0001032,Bosch,BP0009081,TRW,equivalent,Cross-reference for brake pads
BPR0001032,Bosch,OE0050058,Bosch,oem,Original equipment reference
BPR0001032,Bosch,BPR0008078,Brembo,equivalent,Cross-reference for brake pads
BPR0001032,Bosch,OE0050059,Bosch,oem,Original equipment reference
BPR0001033,Bosch,BPR0005404,TRW,replacement,Cross-reference for brake pads
BPR0001033,Bosch,OE0050060,Original,oem,Original equipment reference
BPR0001034,Bosch,BPR0008524,ATE,compatible,Cross-reference for brake pads
BPR0001034,Bosch,OE0050061,Bosch,oem,Original equipment reference
BPR0001034,Bosch,BPR0006373,ATE,replacement,Cross-reference for brake pads
BPR0001034,Bosch,OE0050062,Bosch,oem,Original equipment reference
BPR0001035,Brembo,BP0006933,Pagid,compatible,Cross-reference for brake pads
BPR0001035,Brembo,OE0050063,Brembo,oem,Original equipment reference
BPR0001035,Brembo,BP0005727,EBC Brakes,compatible,Cross-reference for brake pads
BPR0001035,Brembo,OE0050064,Original,oem,Original equipment reference
BPR0001037,Brembo,BPR0002907,ATE,replacement,Cross-reference for brake pads
BPR0001037,Brembo,OE0050065,Original,oem,Original equipment reference
BPR0001037,Brembo,BP0004413,Textar,replacement,Cross-reference for brake pads
BPR0001037,Brembo,OE0050066,Brembo,oem,Original equipment reference
BPR0001037,Brembo,BPR0004740,ATE,equivalent,Cross-reference for brake pads
BPR0001037,Brembo,OE0050067,Brembo,oem,Original equipment reference
BPR0001038,TRW,BP0007651,Brembo,oem,Cross-reference for brake pads
BPR0001038,TRW,OE0050068,TRW,oem,Original equipment reference
BPR0001038,TRW,BP0007383,ATE,replacement,Cross-reference for brake pads
BPR0001038,TRW,OE0050069,Original,oem,Original equipment reference
BPR0001039,TRW,BPR0006022,Pagid,oem,Cross-reference for brake pads
BPR0001039,TRW,OE0050070,Original,oem,Original equipment reference
BPR0001039,TRW,BP0011267,Mintex,compatible,Cross-reference for brake pads
BPR0001039,TRW,OE0050071,Original,oem,Original equipment reference
BPR0001039,TRW,BPR0007040,Pagid,equivalent,Cross-reference for brake pads
BPR0001039,TRW,OE0050072,Original,oem,Original equipment reference
BPR0001040,TRW,BP0001029,EBC Brakes,equivalent,Cross-reference for brake pads
BPR0001040,TRW,OE0050073,Original,oem,Original equipment reference
BPR0001040,TRW,BP0006283,Pagid,oem,Cross-reference for brake pads
BPR0001040,TRW,OE0050074,TRW,oem,Original equipment reference
BPR0001041,ATE,BP0003393,Mintex,replacement,Cross-reference for brake pads
BPR0001041,ATE,OE0050075,ATE,oem,Original equipment reference
BPR0001043,ATE,BP0005479,Bosch,compatible,Cross-reference for brake pads
BPR0001043,ATE,OE0050076,Original,oem,Original equipment reference
BPR0001043,ATE,BPR0001740,Pagid,replacement,Cross-reference for brake pads
BPR0001043,ATE,OE0050077,Original,oem,Original equipment reference
BPR0001044,Ferodo,BP0007551,Bosch,oem,Cross-reference for brake pads
BPR0001044,Ferodo,OE0050078,Original,oem,Original equipment reference
BPR0001044,Ferodo,BP0001011,ATE,equivalent,Cross-reference for brake pads
BPR0001044,Ferodo,OE0050079,Ferodo,oem,Original equipment reference
BPR0001044,Ferodo,BPR0001051,Textar,compatible,Cross-reference for brake pads
BPR0001044,Ferodo,OE0050080,Ferodo,oem,Original equipment reference
BPR0001045,Ferodo,BPR0009498,TRW,compatible,Cross-reference for brake pads
BPR0001045,Ferodo,OE0050081,Ferodo,oem,Original equipment reference
BPR0001045,Ferodo,BP0001023,Mintex,compatible,Cross-reference for brake pads
BPR0001045,Ferodo,OE0050082,Ferodo,oem,Original equipment reference
BPR0001046,Ferodo,BP0004733,Brembo,oem,Cross-reference for brake pads
BPR0001046,Ferodo,OE0050083,Ferodo,oem,Original equipment reference
BPR0001046,Ferodo,BPR0001054,Pagid,equivalent,Cross-reference for brake pads
BPR0001046,Ferodo,OE0050084,Original,oem,Original equipment reference
BPR0001047,Ferodo,BPR0001032,Bosch,compatible,Cross-reference for brake pads
BPR0001047,Ferodo,OE0050085,Ferodo,oem,Original equipment reference
BPR0001047,Ferodo,BP0009311,Bosch,compatible,Cross-reference for brake pads
BPR0001047,Ferodo,OE0050086,Ferodo,oem,Original equipment reference
BPR0001047,Ferodo,BPR0011242,Mintex,compatible,Cross-reference for brake pads
BPR0001047,Ferodo,OE0050087,Ferodo,oem,Original equipment reference
BPR0001048,Ferodo,Bendix-DB2292,Bendix,oem,Cross-reference for brake pads
BPR0001048,Ferodo,OE0050088,Ferodo,oem,Original equipment reference
BPR0001048,Ferodo,BP0003995,EBC Brakes,replacement,Cross-reference for brake pads
BPR0001048,Ferodo,OE0050089,Original,oem,Original equipment reference
BPR0001048,Ferodo,BPR0004635,Brembo,replacement,Cross-reference for brake pads
BPR0001048,Ferodo,OE0050090,Original,oem,Original equipment reference
BPR0001049,Textar,BP0010304,Ferodo,oem,Cross-reference for brake pads
BPR0001049,Textar,OE0050091,Textar,oem,Original equipment reference
BPR0001049,Textar,BPR0008067,ATE,oem,Cross-reference for brake pads
BPR0001049,Textar,OE0050092,Textar,oem,Original equipment reference
BPR0001050,Textar,BP0005842,Bosch,equivalent,Cross-reference for brake pads
BPR0001050,Textar,OE0050093,Original,oem,Original equipment reference
BPR0001051,Textar,BP0003660,ATE,equivalent,Cross-reference for brake pads
BPR0001051,Textar,OE0050094,Original,oem,Original equipment reference
BPR0001051,Textar,BPR0003026,Bosch,compatible,Cross-reference for brake pads
BPR0001051,Textar,OE0050095,Original,oem,Original equipment reference
BPR0001051,Textar,BP0004196,Mintex,replacement,Cross-reference for brake pads
BPR0001051,Textar,OE0050096,Textar,oem,Original equipment reference
BPR0001052,Mintex,BPR0001762,Textar,equivalent,Cross-reference for brake pads
BPR0001052,Mintex,OE0050097,Mintex,oem,Original equipment reference
BPR0001054,Pagid,BP0005995,TRW,oem,Cross-reference for brake pads
BPR0001054,Pagid,OE0050098,Pagid,oem,Original equipment reference
BPR0001054,Pagid,BP0002024,Ferodo,oem,Cross-reference for brake pads
BPR0001054,Pagid,OE0050099,Original,oem,Original equipment reference
BPR0001054,Pagid,GDB2064,TRW,replacement,Cross-reference for brake pads
BPR0001054,Pagid,OE0050100,Original,oem,Original equipment reference
BP0001710,Textar,BP0001004,Bosch,replacement,Cross-reference for brake pads
BP0001710,Textar,OE0050101,Original,oem,Original equipment reference
BP0001710,Textar,BPR0010509,Pagid,replacement,Cross-reference for brake pads
BP0001710,Textar,OE0050102,Textar,oem,Original equipment reference
BP0001710,Textar,BP0010789,Bosch,compatible,Cross-reference for brake pads
BP0001710,Textar,OE0050103,Original,oem,Original equipment reference
BPR0001741,Bosch,BPR0001037,Brembo,equivalent,Cross-reference for brake pads
BPR0001741,Bosch,OE0050104,Original,oem,Original equipment reference
BPR0001741,Bosch,BPR0004870,Brembo,equivalent,Cross-reference for brake pads
BPR0001741,Bosch,OE0050105,Bosch,oem,Original equipment reference
BPR0001741,Bosch,BP0007757,ATE,replacement,Cross-reference for brake pads
BPR0001741,Bosch,OE0050106,Bosch,oem,Original equipment reference
BPR0001754,Ferodo,BP0009228,EBC Brakes,replacement,Cross-reference for brake pads
BPR0001754,Ferodo,OE0050107,Original,oem,Original equipment reference
BP0001759,Mintex,BPR0011308,ATE,equivalent,Cross-reference for brake pads
BP0001759,Mintex,OE0050108,Mintex,oem,Original equipment reference
BP0001759,Mintex,BP0002316,Ferodo,compatible,Cross-reference for brake pads
BP0001759,Mintex,OE0050109,Original,oem,Original equipment reference
BPR0001762,Textar,BPR0009224,TRW,equivalent,Cross-reference for brake pads
BPR0001762,Textar,OE0050110,Original,oem,Original equipment reference
BPR0001762,Textar,BP0001006,Brembo,compatible,Cross-reference for brake pads
BPR0001762,Textar,OE0050111,Original,oem,Original equipment reference
BPR0001762,Textar,BPR0001041,ATE,compatible,Cross-reference for brake pads
BPR0001762,Textar,OE0050112,Original,oem,Original equipment reference
BPR0001805,ATE,BP0001022,Mintex,equivalent,Cross-reference for brake pads
BPR0001805,ATE,OE0050113,Original,oem,Original equipment reference
BPR0001805,ATE,BPR0007536,Pagid,replacement,Cross-reference for brake pads
BPR0001805,ATE,OE0050114,ATE,oem,Original equipment reference
BPR0001805,ATE,BPR0009559,Pagid,oem,Cross-reference for brake pads
BPR0001805,ATE,OE0050115,ATE,oem,Original equipment reference
BPR0001822,Bosch,BPR0009640,ATE,compatible,Cross-reference for brake pads
BPR0001822,Bosch,OE0050116,Original,oem,Original equipment reference
BPR0001822,Bosch,BPR0003291,ATE,equivalent,Cross-reference for brake pads
BPR0001822,Bosch,OE0050117,Bosch,oem,Original equipment reference
BPR0001822,Bosch,BP0009966,Brembo,oem,Cross-reference for brake pads
BPR0001822,Bosch,OE0050118,Bosch,oem,Original equipment reference
BP0001865,Pagid,BPR0004407,ATE,equivalent,Cross-reference for brake pads
BP0001865,Pagid,OE0050119,Pagid,oem,Original equipment reference
BP0001865,Pagid,0986494525,Bosch,equivalent,Cross-reference for brake pads
BP0001865,Pagid,OE0050120,Original,oem,Original equipment reference
BP0001865,Pagid,BP0007975,Mintex,replacement,Cross-reference for brake pads
BP0001865,Pagid,OE0050121,Original,oem,Original equipment reference
BP0001885,Mintex,BP0004343,Textar,equivalent,Cross-reference for brake pads
BP0001885,Mintex,OE0050122,Mintex,oem,Original equipment reference
BPR0001935,Mintex,BPR0005916,Pagid,compatible,Cross-reference for brake pads
BPR0001935,Mintex,OE0050123,Original,oem,Original equipment reference
BPR0001935,Mintex,BPR0006985,Textar,compatible,Cross-reference for brake pads
BPR0001935,Mintex,OE0050124,Original,oem,Original equipment reference
BPR0001935,Mintex,BP0004315,Bosch,compatible,Cross-reference for brake pads
BPR0001935,Mintex,OE0050125,Mintex,oem,Original equipment reference
BPR0001958,Textar,BPR0009498,TRW,replacement,Cross-reference for brake pads
BPR0001958,Textar,OE0050126,Original,oem,Original equipment reference
BP0001973,Brembo,BP0009548,Bosch,oem,Cross-reference for brake pads
BP0001973,Brembo,OE0050127,Original,oem,Original equipment reference
BP0001973,Brembo,BPR0001043,ATE,compatible,Cross-reference for brake pads
BP0001973,Brembo,OE0050128,Brembo,oem,Original equipment reference
BPR0002012,Mintex,BPR0004483,Bosch,replacement,Cross-reference for brake pads
BPR0002012,Mintex,OE0050129,Mintex,oem,Original equipment reference
BP0002024,Ferodo,BPR0009640,ATE,oem,Cross-reference for brake pads
BP0002024,Ferodo,OE0050130,Original,oem,Original equipment reference
BP0002024,Ferodo,BP0005116,ATE,equivalent,Cross-reference for brake pads
BP0002024,Ferodo,OE0050131,Ferodo,oem,Original equipment reference
BPR0002061,ATE,BP0006869,Mintex,compatible,Cross-reference for brake pads
BPR0002061,ATE,OE0050132,Original,oem,Original equipment reference
BPR0002061,ATE,BP0007900,Ferodo,oem,Cross-reference for brake pads
BPR0002061,ATE,OE0050133,Original,oem,Original equipment reference
BP0002065,Brembo,BPR0009540,Mintex,oem,Cross-reference for brake pads
BP0002065,Brembo,OE0050134,Brembo,oem,Original equipment reference
BP0002065,Brembo,BOS-DP1998,Pagid,compatible,Cross-reference for brake pads
BP0002065,Brembo,OE0050135,Original,oem,Original equipment reference
BP0002194,Bosch,BP0003867,ATE,compatible,Cross-reference for brake pads
BP0002194,Bosch,OE0050136,Original,oem,Original equipment reference
BP0002239,ATE,BPR0006793,Bosch,replacement,Cross-reference for brake pads
BP0002239,ATE,OE0050137,Original,oem,Original equipment reference
BPR0002248,Bosch,BPR0007657,Pagid,oem,Cross-reference for brake pads
BPR0002248,Bosch,OE0050138,Bosch,oem,Original equipment reference
BPR0002253,Textar,BPR0011055,Bosch,oem,Cross-reference for brake pads
BPR0002253,Textar,OE0050139,Original,oem,Original equipment reference
BPR0002256,Pagid,FDB4396,Ferodo,replacement,Cross-reference for brake pads
BPR0002256,Pagid,OE0050140,Original,oem,Original equipment reference
BPR0002256,Pagid,BPR0007031,Ferodo,replacement,Cross-reference for brake pads
BPR0002256,Pagid,OE0050141,Pagid,oem,Original equipment reference
BPR0002256,Pagid,BP0009664,Brembo,replacement,Cross-reference for brake pads
BPR0002256,Pagid,OE0050142,Original,oem,Original equipment reference
BPR0002270,Brembo,BPR0006401,Pagid,compatible,Cross-reference for brake pads
BPR0002270,Brembo,OE0050143,Original,oem,Original equipment reference
BPR0002272,Mintex,BP0001027,EBC Brakes,oem,Cross-reference for brake pads
BPR0002272,Mintex,OE0050144,Original,oem,Original equipment reference
BPR0002272,Mintex,BPR0007352,TRW,replacement,Cross-reference for brake pads
BPR0002272,Mintex,OE0050145,Mintex,oem,Original equipment reference
BPR0002288,TRW,BPR0011192,Textar,oem,Cross-reference for brake pads
BPR0002288,TRW,OE0050146,TRW,oem,Original equipment reference
BPR0002288,TRW,BPR0005837,Brembo,oem,Cross-reference for brake pads
BPR0002288,TRW,OE0050147,Original,oem,Original equipment reference
BPR0002288,TRW,BPR0005525,ATE,oem,Cross-reference for brake pads
BPR0002288,TRW,OE0050148,Original,oem,Original equipment reference
BP0002314,EBC Brakes,BP0001022,Mintex,replacement,Cross-reference for brake pads
BP0002314,EBC Brakes,OE0050149,Original,oem,Original equipment reference
BP0002316,Ferodo,BPR0005311,Pagid,oem,Cross-reference for brake pads
BP0002316,Ferodo,OE0050150,Ferodo,oem,Original equipment reference
BP0002416,Pagid,BP0008987,ATE,compatible,Cross-reference for brake pads
BP0002416,Pagid,OE0050151,Original,oem,Original equipment reference
BP0002416,Pagid,BPR0004357,Brembo,replacement,Cross-reference for brake pads
BP0002416,Pagid,OE0050152,Pagid,oem,Original equipment reference
BP0002667,Ferodo,BPR0001036,Brembo,equivalent,Cross-reference for brake pads
BP0002667,Ferodo,OE0050153,Original,oem,Original equipment reference
BP0002667,Ferodo,BP0003521,EBC Brakes,equivalent,Cross-reference for brake pads
BP0002667,Ferodo,OE0050154,Ferodo,oem,Original equipment reference
BP0002676,TRW,BPR0007040,Pagid,equivalent,Cross-reference for brake pads
BP0002676,TRW,OE0050155,Original,oem,Original equipment reference
BPR0002695,Mintex,BP0006811,Bosch,oem,Cross-reference for brake pads
BPR0002695,Mintex,OE0050156,Original,oem,Original equipment reference
BP0002727,Bosch,BPR0009082,TRW,replacement,Cross-reference for brake pads
BP0002727,Bosch,OE0050157,Original,oem,Original equipment reference
BP0002742,Mintex,BPR0006828,Pagid,replacement,Cross-reference for brake pads
BP0002742,Mintex,OE0050158,Original,oem,Original equipment reference
BPR0002795,Bosch,BP0011102,EBC Brakes,equivalent,Cross-reference for brake pads
BPR0002795,Bosch,OE0050159,Bosch,oem,Original equipment reference
BPR0002795,Bosch,BP0008979,Mintex,replacement,Cross-reference for brake pads
BPR0002795,Bosch,OE0050160,Original,oem,Original equipment reference
BPR0002795,Bosch,BPR0009540,Mintex,compatible,Cross-reference for brake pads
BPR0002795,Bosch,OE0050161,Original,oem,Original equipment reference
BPR0002801,Brembo,BPR0010177,Bosch,equivalent,Cross-reference for brake pads
BPR0002801,Brembo,OE0050162,Brembo,oem,Original equipment reference
BP0002818,TRW,BPR0004590,Mintex,replacement,Cross-reference for brake pads
BP0002818,TRW,OE0050163,TRW,oem,Original equipment reference
BP0002818,TRW,BPR0004073,ATE,compatible,Cross-reference for brake pads
BP0002818,TRW,OE0050164,Original,oem,Original equipment reference
BP0002818,TRW,BP0006269,Ferodo,equivalent,Cross-reference for brake pads
BP0002818,TRW,OE0050165,TRW,oem,Original equipment reference
BPR0002834,ATE,BP0004917,Mintex,replacement,Cross-reference for brake pads
BPR0002834,ATE,OE0050166,Original,oem,Original equipment reference
BPR0002834,ATE,BP0007263,Textar,oem,Cross-reference for brake pads
BPR0002834,ATE,OE0050167,Original,oem,Original equipment reference
BPR0002845,Brembo,BP0009429,Mintex,equivalent,Cross-reference for brake pads
BPR0002845,Brembo,OE0050168,Brembo,oem,Original equipment reference
BPR0002845,Brembo,BP0011105,Textar,replacement,Cross-reference for brake pads
BPR0002845,Brembo,OE0050169,Original,oem,Original equipment reference
BPR0002845,Brembo,BP0010150,Mintex,equivalent,Cross-reference for brake pads
BPR0002845,Brembo,OE0050170,Brembo,oem,Original equipment reference
BPR0002848,Pagid,BP0001021,Mintex,equivalent,Cross-reference for brake pads
BPR0002848,Pagid,OE0050171,Original,oem,Original equipment reference
BPR0002907,ATE,BPR0003434,Textar,compatible,Cross-reference for brake pads
BPR0002907,ATE,OE0050172,ATE,oem,Original equipment reference
BPR0002907,ATE,BPR0002038,Mintex,equivalent,Cross-reference for brake pads
BPR0002907,ATE,OE0050173,ATE,oem,Original equipment reference
BPR0002915,Brembo,BPR0009401,Textar,compatible,Cross-reference for brake pads
BPR0002915,Brembo,OE0050174,Original,oem,Original equipment reference
BPR0003026,Bosch,BPR0007202,Ferodo,oem,Cross-reference for brake pads
BPR0003026,Bosch,OE0050175,Bosch,oem,Original equipment reference
BPR0003026,Bosch,BP0008626,Mintex,compatible,Cross-reference for brake pads
BPR0003026,Bosch,OE0050176,Bosch,oem,Original equipment reference
BP0003115,TRW,BP0006869,Mintex,replacement,Cross-reference for brake pads
BP0003115,TRW,OE0050177,TRW,oem,Original equipment reference
BP0003115,TRW,BP0004008,Mintex,compatible,Cross-reference for brake pads
BP0003115,TRW,OE0050178,TRW,oem,Original equipment reference
BP0003173,TRW,BPR0009697,Brembo,equivalent,Cross-reference for brake pads
BP0003173,TRW,OE0050179,TRW,oem,Original equipment reference
BP0003173,TRW,MBP1003,Mintex,oem,Cross-reference for brake pads
BP0003173,TRW,OE0050180,Original,oem,Original equipment reference
BP0003224,Textar,BP0006269,Ferodo,equivalent,Cross-reference for brake pads
BP0003224,Textar,OE0050181,Original,oem,Original equipment reference
BP0003225,Brembo,BPR0004326,Pagid,replacement,Cross-reference for brake pads
BP0003225,Brembo,OE0050182,Brembo,oem,Original equipment reference
BP0003227,Bosch,BPR0001040,TRW,compatible,Cross-reference for brake pads
BP0003227,Bosch,OE0050183,Original,oem,Original equipment reference
BP0003227,Bosch,BP0001028,EBC Brakes,compatible,Cross-reference for brake pads
BP0003227,Bosch,OE0050184,Original,oem,Original equipment reference
BP0003240,Textar,BPR0007202,Ferodo,equivalent,Cross-reference for brake pads
BP0003240,Textar,OE0050185,Original,oem,Original equipment reference
BP0003240,Textar,BP0009228,EBC Brakes,equivalent,Cross-reference for brake pads
BP0003240,Textar,OE0050186,Textar,oem,Original equipment reference
BPR0003281,ATE,BPR0010920,Textar,compatible,Cross-reference for brake pads
BPR0003281,ATE,OE0050187,ATE,oem,Original equipment reference
BPR0003281,ATE,DP2201/2,EBC Brakes,oem,Cross-reference for brake pads
BPR0003281,ATE,OE0050188,Original,oem,Original equipment reference
BPR0003291,ATE,BP0001017,Textar,equivalent,Cross-reference for brake pads
BPR0003291,ATE,OE0050189,Original,oem,Original equipment reference
BP0003368,Pagid,BPR0002248,Bosch,equivalent,Cross-reference for brake pads
BP0003368,Pagid,OE0050190,Pagid,oem,Original equipment reference
BP0003393,Mintex,BPR0003849,TRW,compatible,Cross-reference for brake pads
BP0003393,Mintex,OE0050191,Mintex,oem,Original equipment reference
BP0003518,Brembo,BPR0002254,Pagid,replacement,Cross-reference for brake pads
BP0003518,Brembo,OE0050192,Original,oem,Original equipment reference
BP0003518,Brembo,BP0010718,Bosch,compatible,Cross-reference for brake pads
BP0003518,Brembo,OE0050193,Original,oem,Original equipment reference
BPR0003549,Mintex,BPR0001047,Ferodo,replacement,Cross-reference for brake pads
BPR0003549,Mintex,OE0050194,Mintex,oem,Original equipment reference
BPR0003549,Mintex,BPR0006210,Bosch,compatible,Cross-reference for brake pads
